NOME ÓRGÃO SUPERIOR;receita_prevista;receita_lancada;receita_realizada;receita_pct_realizado_mediana;receita_n_linhas;despesa_orcamento_inicial;despesa_orcamento_atualizado;despesa_empenhada;despesa_realizada;despesa_pct_realizado_mediana;despesa_n_linhas;saldo_fiscal
Advocacia-Geral da União;0.0;0.0;515984.15;0.0;59.0;4642856825.0;5070658435.0;5061463210.56;4516495568.14;77.695;58.0;-4515979583.990001
Banco Central do Brasil - Orçamento Fiscal e;604191400.0;0.0;770282409.43;0.0;1347.0;;;;;;;770282409.43
Banco Central do Brasil - Orçamento Fiscal e Seguridade Social;;;;;;4389316652.0;4678320932.0;4648853425.82;4252554361.83;85.58500000000001;98.0;-4252554361.83
Controladoria-Geral da União;;;;;;1424380170.0;1531227556.0;1524212975.48;1322147858.61;80.29499999999999;52.0;-1322147858.61
Justiça Militar;;;;;;0.0;0.0;185311.65;24282.78;0.0;1.0;-24282.78
Ministério da Agricultura e Pecuária;7376331104.0;0.0;7244508280.83;0.0;3072.0;20164733020.8;20244284325.8;19756857434.079998;15779392882.27;67.06;405.0;-8534884601.440001
Ministério da Ciência, Tecnologia e Inovaç;20973090179.0;0.0;17928034305.43;0.0;5043.0;;;;;;;17928034305.43
Ministério da Ciência, Tecnologia e Inovação;;;;;;21053262576.0;36882515895.0;36730763427.3;19981276694.21;74.27;923.0;-19981276694.21
Ministério da Cultura;2312308706.0;-16065866.75;2163672130.99;0.0;3866.0;5002121781.0;6538454988.0;5446367284.54;4359910481.75;72.005;648.0;-2196238350.76
Ministério da Defesa;22850681991.0;0.0;22697372485.21;0.0;15415.0;133546922526.77;133653389845.77;132352119317.64;118664056547.72;70.015;2054.0;-95966684062.51001
Ministério da Educação;46180901256.0;-198100.9;51617826674.21;0.0;58876.0;226447840787.0;236172520364.0;234870704833.65;200148887221.98;85.675;11218.0;-148531060547.77002
Ministério da Fazenda;4441470078571.0;20174354610.989998;4506144942426.41;0.0;30071.0;3157696786103.0;3207213568813.0;2745846198086.37;2672865729057.65;74.17;630.0;1833279213368.7603
Ministério da Gestão e da Inovação em Ser;4343425925.0;0.0;626449834.98;0.0;528.0;;;;;;;626449834.98
Ministério da Gestão e da Inovação em Serviços Públicos;;;;;;25710098587.999996;31241284271.999996;30566267455.13;27427908506.33;77.9;361.0;-27427908506.33
Ministério da Igualdade Racial;;;;;;217898160.0;192587012.0;184054658.38;146348682.67000002;51.57;116.0;-146348682.67000002
Ministério da Integração e do Desenvolvime;32073827889.0;0.0;3519007381.76;0.0;3097.0;;;;;;;3519007381.76
Ministério da Integração e do Desenvolvimento Regional;;;;;;41558033411.99;47005792554.99;43834294543.8;34412957520.51;42.45;1048.0;-34412957520.51
